ticker,period,document_type,source_url,issue,manual_review_required,priority,notes
NLG,2025-Q1,,https://www.namlongvn.com/uploads/assets/files/Cong-bo-thong-tin/Bao-cao-tai-chinh/20250424-nlg-cbtt-bao-cao-tai-chinh-quy-1-nam-2025-hop-nhat-en.pdf,DOCUMENT_NOT_TEXT_EXTRACTABLE,True,high,NO_TEXT_EXTRACTED_NO_OCR
NLG,2025-Q1,,https://www.namlongvn.com/uploads/assets/files/Cong-bo-thong-tin/Bao-cao-tai-chinh/20250424-nlg-cbtt-bao-cao-tai-chinh-quy-1-nam-2025-hop-nhat-en.pdf,TABLE_EXTRACTION_UNAVAILABLE,True,low,NO_TABLES_EXTRACTED_FROM_NUMERIC_PAGES
PVS,2025-Q1,,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2025/Website_BCTC Hop nhat_QUY 1.2025-VN.pdf,TABLE_EXTRACTION_UNAVAILABLE,True,low,NO_TABLES_EXTRACTED_FROM_NUMERIC_PAGES
NLG,2025,,https://www.namlongvn.com/uploads/2025/08/20250804-nlg-bao-cao-soat-xet-ban-nien-2025-hop-nhat-en.pdf,DOCUMENT_NOT_TEXT_EXTRACTABLE,True,high,NO_TEXT_EXTRACTED_NO_OCR
NLG,2025,,https://www.namlongvn.com/uploads/2025/08/20250804-nlg-bao-cao-soat-xet-ban-nien-2025-hop-nhat-en.pdf,TABLE_EXTRACTION_UNAVAILABLE,True,low,NO_TABLES_EXTRACTED_FROM_NUMERIC_PAGES
PVS,2025,,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2025/PTSC_BCTC Hop nhat 6T %C4%90N2025 SKT.pdf,DOCUMENT_NOT_TEXT_EXTRACTABLE,True,high,NO_TEXT_EXTRACTED_NO_OCR
PVS,2025,,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2025/PTSC_BCTC Hop nhat 6T %C4%90N2025 SKT.pdf,TABLE_EXTRACTION_UNAVAILABLE,True,low,NO_TABLES_EXTRACTED_FROM_NUMERIC_PAGES
PVS,2025,,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2025/PTSC_BCTC Hop nhat nam 2024_SKT.pdf,TABLE_EXTRACTION_UNAVAILABLE,True,low,NO_TABLES_EXTRACTED_FROM_NUMERIC_PAGES
PVS,2025,,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2025/PTSC_BCTC Hop nhat nam 2024_SKT_EN.pdf,TABLE_EXTRACTION_UNAVAILABLE,True,low,NO_TABLES_EXTRACTED_FROM_NUMERIC_PAGES
PVS,2024-Q4,,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2025/2025 01 24_162 PTSC-BTK_CBTT dinh ky BCTC.pdf,TABLE_EXTRACTION_UNAVAILABLE,True,low,NO_TABLES_EXTRACTED_FROM_NUMERIC_PAGES
NLG,2026-Q1,,https://www.namlongvn.com/uploads/2026/04/20260424-NLG-Bao-cao-tai-chinh-Q1.2026-Rieng-EN.pdf,DOCUMENT_NOT_TEXT_EXTRACTABLE,True,high,NO_TEXT_EXTRACTED_NO_OCR
NLG,2026-Q1,,https://www.namlongvn.com/uploads/2026/04/20260424-NLG-Bao-cao-tai-chinh-Q1.2026-Rieng-EN.pdf,TABLE_EXTRACTION_UNAVAILABLE,True,low,NO_TABLES_EXTRACTED_FROM_NUMERIC_PAGES
PVS,2026-Q1,,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2026/657 PTSC-BTK.pdf,TABLE_EXTRACTION_UNAVAILABLE,True,low,NO_TABLES_EXTRACTED_FROM_NUMERIC_PAGES
SSI,2026-Q1,,https://www.ssi.com.vn/upload/files/IR/20260420_SSI_Bao_cao_tai_chinh_rieng_Quy_1_nam_2026(2).pdf,DOCUMENT_NOT_TEXT_EXTRACTABLE,True,high,NO_TEXT_EXTRACTED_NO_OCR
SSI,2026-Q1,,https://www.ssi.com.vn/upload/files/IR/20260420_SSI_Bao_cao_tai_chinh_rieng_Quy_1_nam_2026(2).pdf,TABLE_EXTRACTION_UNAVAILABLE,True,low,NO_TABLES_EXTRACTED_FROM_NUMERIC_PAGES
NLG,2026,,https://www.namlongvn.com/uploads/2026/03/20260318-NLG-CBTT-Bao-cao-tai-chinh-nam-2025-da-kiem-toan-Rieng-EN.pdf,DOCUMENT_NOT_TEXT_EXTRACTABLE,True,high,NO_TEXT_EXTRACTED_NO_OCR
NLG,2026,,https://www.namlongvn.com/uploads/2026/03/20260318-NLG-CBTT-Bao-cao-tai-chinh-nam-2025-da-kiem-toan-Rieng-EN.pdf,TABLE_EXTRACTION_UNAVAILABLE,True,low,NO_TABLES_EXTRACTED_FROM_NUMERIC_PAGES
SSI,2026,,https://www.ssi.com.vn/upload/files/IR/20260327_SSI_Bao_cao_tai_chinh_rieng_nam_2025_da_kiem_toan.pdf,DOCUMENT_NOT_TEXT_EXTRACTABLE,True,high,NO_TEXT_EXTRACTED_NO_OCR
SSI,2026,,https://www.ssi.com.vn/upload/files/IR/20260327_SSI_Bao_cao_tai_chinh_rieng_nam_2025_da_kiem_toan.pdf,TABLE_EXTRACTION_UNAVAILABLE,True,low,NO_TABLES_EXTRACTED_FROM_NUMERIC_PAGES
PVS,2026,,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2026/2026 03 19_363 PTSC-BTK_CBTT BCTC Cty me Nam 2025.pdf,TABLE_EXTRACTION_UNAVAILABLE,True,low,NO_TABLES_EXTRACTED_FROM_NUMERIC_PAGES
NLG,2025-Q4,,https://www.namlongvn.com/uploads/2026/01/20260129-NLG-CBTT-Bao-cao-tai-chinh-Quy-4.2025-Rieng-EN-1.pdf,DOCUMENT_NOT_TEXT_EXTRACTABLE,True,high,NO_TEXT_EXTRACTED_NO_OCR
NLG,2025-Q4,,https://www.namlongvn.com/uploads/2026/01/20260129-NLG-CBTT-Bao-cao-tai-chinh-Quy-4.2025-Rieng-EN-1.pdf,TABLE_EXTRACTION_UNAVAILABLE,True,low,NO_TABLES_EXTRACTED_FROM_NUMERIC_PAGES
PVS,2025-Q4,,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2026/BCTC Cty me Quy 4 2025_web.pdf,DOCUMENT_NOT_TEXT_EXTRACTABLE,True,high,NO_TEXT_EXTRACTED_NO_OCR
PVS,2025-Q4,,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2026/BCTC Cty me Quy 4 2025_web.pdf,TABLE_EXTRACTION_UNAVAILABLE,True,low,NO_TABLES_EXTRACTED_FROM_NUMERIC_PAGES
SSI,2025-Q4,,https://www.ssi.com.vn/upload/files/IR/20260120_SSI_Bao_cao_tai_chinh_rieng_Quy_4_nam_2025.pdf,DOCUMENT_NOT_TEXT_EXTRACTABLE,True,high,NO_TEXT_EXTRACTED_NO_OCR
SSI,2025-Q4,,https://www.ssi.com.vn/upload/files/IR/20260120_SSI_Bao_cao_tai_chinh_rieng_Quy_4_nam_2025.pdf,TABLE_EXTRACTION_UNAVAILABLE,True,low,NO_TABLES_EXTRACTED_FROM_NUMERIC_PAGES
NLG,2025-Q3,,https://www.namlongvn.com/uploads/2025/10/20251029_NLG_CBTT-Bao-cao-tai-chinh-Quy-3.2025_Rieng_EN.pdf,DOCUMENT_NOT_TEXT_EXTRACTABLE,True,high,NO_TEXT_EXTRACTED_NO_OCR
NLG,2025-Q3,,https://www.namlongvn.com/uploads/2025/10/20251029_NLG_CBTT-Bao-cao-tai-chinh-Quy-3.2025_Rieng_EN.pdf,TABLE_EXTRACTION_UNAVAILABLE,True,low,NO_TABLES_EXTRACTED_FROM_NUMERIC_PAGES
PVS,2025-Q3,,https://www.ptsc.com.vn/Data/Sites/1/media/codong/VIE_EN_BCTC Cong ty me_Quy 3.2025.pdf,DOCUMENT_NOT_TEXT_EXTRACTABLE,True,high,NO_TEXT_EXTRACTED_NO_OCR
PVS,2025-Q3,,https://www.ptsc.com.vn/Data/Sites/1/media/codong/VIE_EN_BCTC Cong ty me_Quy 3.2025.pdf,TABLE_EXTRACTION_UNAVAILABLE,True,low,NO_TABLES_EXTRACTED_FROM_NUMERIC_PAGES
SSI,2025-Q3,,https://www.ssi.com.vn/upload/files/IR/20251020_SSI_Bao_cao_tai_chinh_rieng_Quy_3_nam_2025.pdf,DOCUMENT_NOT_TEXT_EXTRACTABLE,True,high,NO_TEXT_EXTRACTED_NO_OCR
SSI,2025-Q3,,https://www.ssi.com.vn/upload/files/IR/20251020_SSI_Bao_cao_tai_chinh_rieng_Quy_3_nam_2025.pdf,TABLE_EXTRACTION_UNAVAILABLE,True,low,NO_TABLES_EXTRACTED_FROM_NUMERIC_PAGES
NLG,2025-Q2,,https://www.namlongvn.com/uploads/2025/07/20250725-nlg-cbtt-bao-cao-tai-chinh-quy-2-2025-rieng-en.pdf,DOCUMENT_NOT_TEXT_EXTRACTABLE,True,high,NO_TEXT_EXTRACTED_NO_OCR
NLG,2025-Q2,,https://www.namlongvn.com/uploads/2025/07/20250725-nlg-cbtt-bao-cao-tai-chinh-quy-2-2025-rieng-en.pdf,TABLE_EXTRACTION_UNAVAILABLE,True,low,NO_TABLES_EXTRACTED_FROM_NUMERIC_PAGES
PVS,2025-Q2,,https://www.ptsc.com.vn/Data/Sites/1/media/codong/2025/1246 PTSC-BTK.pdf,TABLE_EXTRACTION_UNAVAILABLE,True,low,NO_TABLES_EXTRACTED_FROM_NUMERIC_PAGES
