balanced_rank,raw_rank,ticker,exchange,sector_raw,sector_bucket,firm_type,raw_evidence_priority_score,balanced_evidence_priority_score,liquidity_score,data_completeness_score,finance_sanity_score,source_coverage_score,market_crosscheck_status,finance_crosscheck_status,balance_action,evidence_stage,manual_review_required,reason,stage,eligibility_status,demotion_reason,current_market_rank
25,32,VGT,UPCoM,Hàng Tiêu dùng / Hàng cá nhân & Gia dụng / Hàng cá nhân / Hàng May mặc,Hàng Tiêu dùng,non_financial,60.4839,60.4839,74.5297,87.5,90.0,33.3333,LEGACY_MARKET_MISSING,ONE_SOURCE_ONLY,DEMOTED_STAGE2_GATE,stage_1_provisional_shortlist,True,Current market gate status=BLOCKED_MISSING_MARKET; original_stage=stage_3_final_watchlist; new_stage=stage_1_provisional_shortlist.,stage_1_provisional_shortlist,BLOCKED_MISSING_MARKET,BLOCKED_MISSING_MARKET,25
26,33,VEA,UPCoM,Công nghiệp / Hàng & Dịch vụ Công nghiệp / Công nghiệp nặng / Máy công nghiệp,Công nghiệp,non_financial,60.1815,60.1815,73.5217,87.5,90.0,33.3333,LEGACY_MARKET_MISSING,ONE_SOURCE_ONLY,DEMOTED_STAGE2_GATE,stage_1_provisional_shortlist,True,Current market gate status=BLOCKED_MISSING_MARKET; original_stage=stage_3_final_watchlist; new_stage=stage_1_provisional_shortlist.,stage_1_provisional_shortlist,BLOCKED_MISSING_MARKET,BLOCKED_MISSING_MARKET,26
27,34,TV2,HOSE,Công nghiệp / Hàng & Dịch vụ Công nghiệp / Tư vấn & Hỗ trợ Kinh doanh / Tư vấn & Hỗ trợ KD,Công nghiệp,non_financial,60.0719,60.0719,73.1564,87.5,90.0,33.3333,LEGACY_MARKET_MISSING,ONE_SOURCE_ONLY,DEMOTED_STAGE2_GATE,stage_1_provisional_shortlist,True,Current market gate status=BLOCKED_MISSING_MARKET; original_stage=stage_3_final_watchlist; new_stage=stage_1_provisional_shortlist.,stage_1_provisional_shortlist,BLOCKED_MISSING_MARKET,BLOCKED_MISSING_MARKET,27
28,35,VPG,HOSE,Nguyên vật liệu / Tài nguyên Cơ bản / Khai khoáng / Khai khoáng,Nguyên vật liệu,non_financial,59.6263,59.6263,71.6712,87.5,90.0,33.3333,LEGACY_MARKET_MISSING,ONE_SOURCE_ONLY,DEMOTED_STAGE2_GATE,stage_1_provisional_shortlist,True,Current market gate status=BLOCKED_MISSING_MARKET; original_stage=stage_3_final_watchlist; new_stage=stage_1_provisional_shortlist.,stage_1_provisional_shortlist,BLOCKED_MISSING_MARKET,BLOCKED_MISSING_MARKET,28
29,36,TTA,HOSE,"Tiện ích Cộng đồng / Điện, nước & xăng dầu khí đốt / Sản xuất & Phân phối Điện / Sản xuất & Phân phối Điện",Tiện ích Cộng đồng,non_financial,59.5192,59.5192,71.3138,87.5,90.0,33.3333,LEGACY_MARKET_MISSING,ONE_SOURCE_ONLY,DEMOTED_STAGE2_GATE,stage_1_provisional_shortlist,True,Current market gate status=BLOCKED_MISSING_MARKET; original_stage=stage_3_final_watchlist; new_stage=stage_1_provisional_shortlist.,stage_1_provisional_shortlist,BLOCKED_MISSING_MARKET,BLOCKED_MISSING_MARKET,29
30,37,VGS,HNX,Nguyên vật liệu / Tài nguyên Cơ bản / Kim loại / Thép và sản phẩm thép,Nguyên vật liệu,non_financial,59.483,59.483,71.1935,87.5,90.0,33.3333,LEGACY_MARKET_MISSING,ONE_SOURCE_ONLY,DEMOTED_STAGE2_GATE,stage_1_provisional_shortlist,True,Current market gate status=BLOCKED_MISSING_MARKET; original_stage=stage_3_final_watchlist; new_stage=stage_1_provisional_shortlist.,stage_1_provisional_shortlist,BLOCKED_MISSING_MARKET,BLOCKED_MISSING_MARKET,30
31,38,VTD,UPCoM,Dịch vụ Tiêu dùng / Du lịch và Giải trí / Du lịch & Giải trí / Vận tải hành khách & Du lịch,Dịch vụ Tiêu dùng,non_financial,59.3744,59.3744,70.8314,87.5,90.0,33.3333,LEGACY_MARKET_MISSING,ONE_SOURCE_ONLY,DEMOTED_STAGE2_GATE,stage_1_provisional_shortlist,True,Current market gate status=BLOCKED_MISSING_MARKET; original_stage=stage_3_final_watchlist; new_stage=stage_1_provisional_shortlist.,stage_1_provisional_shortlist,BLOCKED_MISSING_MARKET,BLOCKED_MISSING_MARKET,31
32,41,VHE,HNX,Dược phẩm và Y tế / Y tế / Dược phẩm / Dược phẩm,Dược phẩm và Y tế,non_financial,58.7496,58.7496,68.7487,87.5,90.0,33.3333,LEGACY_MARKET_MISSING,ONE_SOURCE_ONLY,DEMOTED_STAGE2_GATE,stage_1_provisional_shortlist,True,Current market gate status=BLOCKED_MISSING_MARKET; original_stage=stage_3_final_watchlist; new_stage=stage_1_provisional_shortlist.,stage_1_provisional_shortlist,BLOCKED_MISSING_MARKET,BLOCKED_MISSING_MARKET,32
33,46,TNI,HOSE,Nguyên vật liệu / Tài nguyên Cơ bản / Kim loại / Thép và sản phẩm thép,Nguyên vật liệu,non_financial,58.4522,58.4522,67.7574,87.5,90.0,33.3333,LEGACY_MARKET_MISSING,ONE_SOURCE_ONLY,DEMOTED_STAGE2_GATE,stage_1_provisional_shortlist,True,Current market gate status=BLOCKED_MISSING_MARKET; original_stage=stage_3_final_watchlist; new_stage=stage_1_provisional_shortlist.,stage_1_provisional_shortlist,BLOCKED_MISSING_MARKET,BLOCKED_MISSING_MARKET,33
34,49,VVS,HOSE,Hàng Tiêu dùng / Ô tô và phụ tùng / Ô tô và phụ tùng / Sản xuất ô tô,Hàng Tiêu dùng,non_financial,58.3305,58.3305,67.3516,87.5,90.0,33.3333,LEGACY_MARKET_MISSING,ONE_SOURCE_ONLY,DEMOTED_STAGE2_GATE,stage_1_provisional_shortlist,True,Current market gate status=BLOCKED_MISSING_MARKET; original_stage=stage_3_final_watchlist; new_stage=stage_1_provisional_shortlist.,stage_1_provisional_shortlist,BLOCKED_MISSING_MARKET,BLOCKED_MISSING_MARKET,34
