provider_name,source_family,ticker,attempt_status,network_allowed,network_used,optional_install_used,request_count,error_type,error_message,attempted_at,elapsed_seconds
vietfin,unknown_brokerage_api,TVS,NOT_IMPORTABLE,True,False,False,0,NOT_IMPORTABLE,Package vietfin is not importable.,2026-06-12T06:40:50+00:00,0.000222
vietfin,unknown_brokerage_api,VRE,NOT_IMPORTABLE,True,False,False,0,NOT_IMPORTABLE,Package vietfin is not importable.,2026-06-12T06:40:50+00:00,0.000222
vietfin,unknown_brokerage_api,VNE,NOT_IMPORTABLE,True,False,False,0,NOT_IMPORTABLE,Package vietfin is not importable.,2026-06-12T06:40:50+00:00,0.000222
vietfin,unknown_brokerage_api,VOS,NOT_IMPORTABLE,True,False,False,0,NOT_IMPORTABLE,Package vietfin is not importable.,2026-06-12T06:40:50+00:00,0.000222
vietfin,unknown_brokerage_api,VTP,NOT_IMPORTABLE,True,False,False,0,NOT_IMPORTABLE,Package vietfin is not importable.,2026-06-12T06:40:50+00:00,0.000222
vietfin,unknown_brokerage_api,TLH,NOT_IMPORTABLE,True,False,False,0,NOT_IMPORTABLE,Package vietfin is not importable.,2026-06-12T06:40:50+00:00,0.000222
vnstock_market_data,static_github_historical,VIX,HISTORICAL_FALLBACK_ONLY,True,False,False,0,HistoricalFallbackOnly,Static GitHub historical fallback is not current confirmation.,2026-06-12T06:40:50+00:00,0.0
vnstock_market_data,static_github_historical,VND,HISTORICAL_FALLBACK_ONLY,True,False,False,0,HistoricalFallbackOnly,Static GitHub historical fallback is not current confirmation.,2026-06-12T06:40:50+00:00,0.0
vnstock_market_data,static_github_historical,VSC,HISTORICAL_FALLBACK_ONLY,True,False,False,0,HistoricalFallbackOnly,Static GitHub historical fallback is not current confirmation.,2026-06-12T06:40:50+00:00,0.0
vnstock_market_data,static_github_historical,VGI,HISTORICAL_FALLBACK_ONLY,True,False,False,0,HistoricalFallbackOnly,Static GitHub historical fallback is not current confirmation.,2026-06-12T06:40:50+00:00,0.0
vnstock_market_data,static_github_historical,VCG,HISTORICAL_FALLBACK_ONLY,True,False,False,0,HistoricalFallbackOnly,Static GitHub historical fallback is not current confirmation.,2026-06-12T06:40:50+00:00,0.0
vnstock_market_data,static_github_historical,VNM,HISTORICAL_FALLBACK_ONLY,True,False,False,0,HistoricalFallbackOnly,Static GitHub historical fallback is not current confirmation.,2026-06-12T06:40:50+00:00,0.0
vnstock_market_data,static_github_historical,TVN,HISTORICAL_FALLBACK_ONLY,True,False,False,0,HistoricalFallbackOnly,Static GitHub historical fallback is not current confirmation.,2026-06-12T06:40:50+00:00,0.0
vnstock_market_data,static_github_historical,VJC,HISTORICAL_FALLBACK_ONLY,True,False,False,0,HistoricalFallbackOnly,Static GitHub historical fallback is not current confirmation.,2026-06-12T06:40:50+00:00,0.0
vnstock_market_data,static_github_historical,VTZ,HISTORICAL_FALLBACK_ONLY,True,False,False,0,HistoricalFallbackOnly,Static GitHub historical fallback is not current confirmation.,2026-06-12T06:40:50+00:00,0.0
vnstock_market_data,static_github_historical,YEG,HISTORICAL_FALLBACK_ONLY,True,False,False,0,HistoricalFallbackOnly,Static GitHub historical fallback is not current confirmation.,2026-06-12T06:40:50+00:00,0.0
vnstock_market_data,static_github_historical,VCI,HISTORICAL_FALLBACK_ONLY,True,False,False,0,HistoricalFallbackOnly,Static GitHub historical fallback is not current confirmation.,2026-06-12T06:40:50+00:00,0.0
vnstock_market_data,static_github_historical,VFS,HISTORICAL_FALLBACK_ONLY,True,False,False,0,HistoricalFallbackOnly,Static GitHub historical fallback is not current confirmation.,2026-06-12T06:40:50+00:00,0.0
vnstock_market_data,static_github_historical,VDS,HISTORICAL_FALLBACK_ONLY,True,False,False,0,HistoricalFallbackOnly,Static GitHub historical fallback is not current confirmation.,2026-06-12T06:40:50+00:00,0.0
vnstock_market_data,static_github_historical,VIG,HISTORICAL_FALLBACK_ONLY,True,False,False,0,HistoricalFallbackOnly,Static GitHub historical fallback is not current confirmation.,2026-06-12T06:40:50+00:00,0.0
vnstock_market_data,static_github_historical,TVS,HISTORICAL_FALLBACK_ONLY,True,False,False,0,HistoricalFallbackOnly,Static GitHub historical fallback is not current confirmation.,2026-06-12T06:40:50+00:00,0.0
vnstock_market_data,static_github_historical,VRE,HISTORICAL_FALLBACK_ONLY,True,False,False,0,HistoricalFallbackOnly,Static GitHub historical fallback is not current confirmation.,2026-06-12T06:40:50+00:00,0.0
vnstock_market_data,static_github_historical,VNE,HISTORICAL_FALLBACK_ONLY,True,False,False,0,HistoricalFallbackOnly,Static GitHub historical fallback is not current confirmation.,2026-06-12T06:40:50+00:00,0.0
vnstock_market_data,static_github_historical,VOS,HISTORICAL_FALLBACK_ONLY,True,False,False,0,HistoricalFallbackOnly,Static GitHub historical fallback is not current confirmation.,2026-06-12T06:40:50+00:00,0.0
vnstock_market_data,static_github_historical,VTP,HISTORICAL_FALLBACK_ONLY,True,False,False,0,HistoricalFallbackOnly,Static GitHub historical fallback is not current confirmation.,2026-06-12T06:40:50+00:00,0.0
vnstock_market_data,static_github_historical,TLH,HISTORICAL_FALLBACK_ONLY,True,False,False,0,HistoricalFallbackOnly,Static GitHub historical fallback is not current confirmation.,2026-06-12T06:40:50+00:00,0.0
