ticker,rank,exchange,sector_raw,legacy_last_close,public_last_close,legacy_last_price_date,public_last_price_date,legacy_avg_volume_20d,public_avg_volume_20d,legacy_avg_volume_60d,public_avg_volume_60d,price_abs_diff,price_relative_diff_pct,volume_60d_relative_diff_pct,price_crosscheck_status,volume_crosscheck_status,manual_review_required,reason
VC9,89,HNX,Công nghiệp / Xây dựng và Vật liệu / Xây dựng và Vật liệu / Xây dựng,,5700.0,,2023-06-30,,36860.0,,26780.0,,,,LEGACY_MARKET_MISSING,LEGACY_MARKET_MISSING,True,Legacy market row has no last_close.; STALE_LEGACY_DATA; STALE_PUBLIC_DATA
TIS,90,UPCoM,Nguyên vật liệu / Tài nguyên Cơ bản / Kim loại / Thép và sản phẩm thép,,5100.0,,2023-06-30,,143625.0,,71630.0,,,,LEGACY_MARKET_MISSING,LEGACY_MARKET_MISSING,True,Legacy market row has no last_close.; STALE_LEGACY_DATA; STALE_PUBLIC_DATA
VCW,91,UPCoM,"Tiện ích Cộng đồng / Điện, nước & xăng dầu khí đốt / Nước & Khí đốt / Nước",,33500.0,,2023-06-30,,1195.0,,1180.0,,,,LEGACY_MARKET_MISSING,LEGACY_MARKET_MISSING,True,Legacy market row has no last_close.; STALE_LEGACY_DATA; STALE_PUBLIC_DATA
VKC,92,UPCoM,Hàng Tiêu dùng / Ô tô và phụ tùng / Ô tô và phụ tùng / Lốp xe,,1200.0,,2023-06-30,,158815.0,,180923.3333,,,,LEGACY_MARKET_MISSING,LEGACY_MARKET_MISSING,True,Legacy market row has no last_close.; STALE_LEGACY_DATA; STALE_PUBLIC_DATA
VTR,93,UPCoM,Dịch vụ Tiêu dùng / Du lịch và Giải trí / Du lịch & Giải trí / Vận tải hành khách & Du lịch,,24800.0,,2023-06-30,,17860.0,,21378.3333,,,,LEGACY_MARKET_MISSING,LEGACY_MARKET_MISSING,True,Legacy market row has no last_close.; STALE_LEGACY_DATA; STALE_PUBLIC_DATA
VGP,94,HNX,"Công nghiệp / Hàng & Dịch vụ Công nghiệp / Vận tải / Kho bãi, hậu cần và bảo dưỡng",,29800.0,,2023-06-30,,100.0,,316.6667,,,,LEGACY_MARKET_MISSING,LEGACY_MARKET_MISSING,True,Legacy market row has no last_close.; STALE_LEGACY_DATA; STALE_PUBLIC_DATA
VCP,95,UPCoM,"Tiện ích Cộng đồng / Điện, nước & xăng dầu khí đốt / Sản xuất & Phân phối Điện / Sản xuất & Phân phối Điện",,22000.0,,2023-06-30,,5985.0,,3351.6667,,,,LEGACY_MARKET_MISSING,LEGACY_MARKET_MISSING,True,Legacy market row has no last_close.; STALE_LEGACY_DATA; STALE_PUBLIC_DATA
UDJ,96,UPCoM,Công nghiệp / Xây dựng và Vật liệu / Xây dựng và Vật liệu / Xây dựng,,11700.0,,2023-06-30,,26275.0,,24236.6667,,,,LEGACY_MARKET_MISSING,LEGACY_MARKET_MISSING,True,Legacy market row has no last_close.; STALE_LEGACY_DATA; STALE_PUBLIC_DATA
THI,97,HOSE,Công nghiệp / Hàng & Dịch vụ Công nghiệp / Điện tử & Thiết bị điện / Thiết bị điện,,23700.0,,2023-06-29,,15975.0,,8360.0,,,,LEGACY_MARKET_MISSING,LEGACY_MARKET_MISSING,True,Legacy market row has no last_close.; STALE_LEGACY_DATA; STALE_PUBLIC_DATA
TV6,98,UPCoM,"Tài chính / Bất động sản / Bất động sản / Tư Vấn, Định giá, Môi giới Bất động sản",,2500.0,,2023-06-30,,1620.0,,6863.3333,,,,LEGACY_MARKET_MISSING,LEGACY_MARKET_MISSING,True,Legacy market row has no last_close.; STALE_LEGACY_DATA; STALE_PUBLIC_DATA
VW3,99,UPCoM,Công nghiệp / Xây dựng và Vật liệu / Xây dựng và Vật liệu / Xây dựng,,10200.0,,2023-06-30,,510.0,,285.0,,,,LEGACY_MARKET_MISSING,LEGACY_MARKET_MISSING,True,Legacy market row has no last_close.; STALE_LEGACY_DATA; STALE_PUBLIC_DATA
THG,100,HOSE,Công nghiệp / Xây dựng và Vật liệu / Xây dựng và Vật liệu / Vật liệu xây dựng & Nội thất,,41000.0,,2023-06-30,,25215.0,,28033.3333,,,,LEGACY_MARKET_MISSING,LEGACY_MARKET_MISSING,True,Legacy market row has no last_close.; STALE_LEGACY_DATA; STALE_PUBLIC_DATA
VRG,101,UPCoM,Tài chính / Bất động sản / Bất động sản / Bất động sản,,21000.0,,2023-06-30,,2810.0,,3416.6667,,,,LEGACY_MARKET_MISSING,LEGACY_MARKET_MISSING,True,Legacy market row has no last_close.; STALE_LEGACY_DATA; STALE_PUBLIC_DATA
TTG,102,UPCoM,Hàng Tiêu dùng / Hàng cá nhân & Gia dụng / Hàng cá nhân / Hàng May mặc,,5900.0,,2023-06-30,,1190.0,,945.0,,,,LEGACY_MARKET_MISSING,LEGACY_MARKET_MISSING,True,Legacy market row has no last_close.; STALE_LEGACY_DATA; STALE_PUBLIC_DATA
TOS,103,UPCoM,"Dầu khí / Dầu khí / Thiết bị, Dịch vụ và Phân phối Dầu khí / Thiết bị và Dịch vụ Dầu khí",,32100.0,,2023-06-30,,7875.0,,3311.6667,,,,LEGACY_MARKET_MISSING,LEGACY_MARKET_MISSING,True,Legacy market row has no last_close.; STALE_LEGACY_DATA; STALE_PUBLIC_DATA
TVP,104,UPCoM,Dược phẩm và Y tế / Y tế / Dược phẩm / Dược phẩm,,25900.0,,2023-06-30,,11380.0,,8273.3333,,,,LEGACY_MARKET_MISSING,LEGACY_MARKET_MISSING,True,Legacy market row has no last_close.; STALE_LEGACY_DATA; STALE_PUBLIC_DATA
