ticker,rank,url,attempt_status,http_status,row_count,error
VGV,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VGV.csv,FETCHED,200,1491,
VAV,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VAV.csv,FETCHED,200,1484,
VCF,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VCF.csv,FETCHED,200,3096,
VCB,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VCB.csv,FETCHED,200,3496,
TTL,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TTL.csv,FETCHED,200,1360,
VMD,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VMD.csv,FETCHED,200,3181,
WTC,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/WTC.csv,FETCHED,200,3191,
VTH,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VTH.csv,FETCHED,200,2166,
THP,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/THP.csv,FETCHED,200,903,
VTQ,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/VTQ.csv,FETCHED,200,524,
TKU,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TKU.csv,FETCHED,200,4247,
TTT,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TTT.csv,FETCHED,200,1519,
XLV,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/XLV.csv,FETCHED,200,1275,
XDH,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/XDH.csv,FETCHED,200,1163,
TDB,,https://raw.githubusercontent.com/vnstock-official/vnstock_market_data/main/historical_price/all_time/TDB.csv,FETCHED,200,1481,
