ticker,period,document_type,source_url,candidate_url,issue,manual_review_required,priority,notes
BID,DISCOVERY_REVIEW,filing_page,https://bidv.com.vn/vn/quan-he-nha-dau-tu,https://bidv.com.vn/vn/ca-nhan/san-pham-dich-vu/ngan-quy/thu-giu-ho-tien-mat-qua-dem,OFFICIAL_DOMAIN_MATCH;HTTPS_LINK;TARGET_YEAR_OR_QUARTER_MATCH;SOURCE_FROM_ERROR_PAGE_REVIEW;SOURCE_FROM_BLOCKED_PAGE_REVIEW;NO_FINANCE_KEYWORDS;FILE_TYPE_UNCONFIRMED_REVIEW,True,medium,01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS alone is not finance evidence
BID,DISCOVERY_REVIEW,filing_page,https://bidv.com.vn/vn/quan-he-nha-dau-tu,https://bidv.com.vn/vn/ca-nhan/san-pham-dich-vu/ngan-quy/thu-chi-tien-mat-luu-dong,OFFICIAL_DOMAIN_MATCH;HTTPS_LINK;TARGET_YEAR_OR_QUARTER_MATCH;SOURCE_FROM_ERROR_PAGE_REVIEW;SOURCE_FROM_BLOCKED_PAGE_REVIEW;NO_FINANCE_KEYWORDS;FILE_TYPE_UNCONFIRMED_REVIEW,True,medium,01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS alone is not finance evidence
BID,DISCOVERY_REVIEW,filing_page,https://bidv.com.vn/vn/quan-he-nha-dau-tu,https://bidv.com.vn/vn/quan-he-nha-dau-tu?urile=wcm:path:/wps/wcm/connect/BIDV/tin-tuc/thong-tin-bao-chi/bidv-nhan-giai-thuong-ngan-hang-trien-khai-cong-nghe-cho-he-thong-core-banking-tot-nhat-viet-nam,OFFICIAL_DOMAIN_MATCH;HTTPS_LINK;SOURCE_FROM_ERROR_PAGE_REVIEW;GENERIC_PAGE_PENALTY;OLD_YEAR_PENALTY;SOURCE_FROM_BLOCKED_PAGE_REVIEW;NO_FINANCE_KEYWORDS;FILE_TYPE_UNCONFIRMED_REVIEW,True,medium,01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS alone is not finance evidence
BID,2026,filing_page,https://bidv.com.vn/vn/quan-he-nha-dau-tu,https://bidv.com.vn/vn/quan-he-nha-dau-tu?urile=wcm:path:/wps/wcm/connect/BIDV/doanh-nghiep/khach-hang-doanh-nghiep/khuyen-mai/ngan-hang-so/BIDV-DIRECT-SHOP-MOT-NEN-TANG-TRON-TIEN-ICH-BAN-HANG-DANH-CHO-DOANH-NGHIEP,OFFICIAL_DOMAIN_MATCH;HTTPS_LINK;TARGET_YEAR_OR_QUARTER_MATCH;SOURCE_FROM_ERROR_PAGE_REVIEW;SOURCE_FROM_BLOCKED_PAGE_REVIEW;NO_FINANCE_KEYWORDS;FILE_TYPE_UNCONFIRMED_REVIEW;PERIOD_NOT_EXACT_TARGET_REVIEW,True,medium,01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS alone is not finance evidence
BID,DISCOVERY_REVIEW,filing_page,https://bidv.com.vn/vn/quan-he-nha-dau-tu,https://bidv.com.vn/vn/quan-he-nha-dau-tu?urile=wcm:path:/wps/wcm/connect/BIDV/bidv-blog/qldt/cach-day-con-tiet-kiem-tien-cac-bac-phu-huynh-nen-biet,OFFICIAL_DOMAIN_MATCH;HTTPS_LINK;SOURCE_FROM_ERROR_PAGE_REVIEW;OLD_YEAR_PENALTY;SOURCE_FROM_BLOCKED_PAGE_REVIEW;NO_FINANCE_KEYWORDS;FILE_TYPE_UNCONFIRMED_REVIEW,True,medium,01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS alone is not finance evidence
BID,2026,filing_page,https://bidv.com.vn/vn/quan-he-nha-dau-tu,https://bidv.com.vn/vn/quan-he-nha-dau-tu?urile=wcm:path:/wps/wcm/connect/BIDV/ca-nhan/khuyen-mai/ngan-hang-so/Rinh-qua-3ty-dong-tren-BIDVSmartBanking-Don-ma-du-xuan,OFFICIAL_DOMAIN_MATCH;HTTPS_LINK;TARGET_YEAR_OR_QUARTER_MATCH;SOURCE_FROM_ERROR_PAGE_REVIEW;SOURCE_FROM_BLOCKED_PAGE_REVIEW;NO_FINANCE_KEYWORDS;FILE_TYPE_UNCONFIRMED_REVIEW;PERIOD_NOT_EXACT_TARGET_REVIEW,True,medium,01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS alone is not finance evidence
BID,2025,filing_page,https://bidv.com.vn/vn/quan-he-nha-dau-tu,https://bidv.com.vn/vn/quan-he-nha-dau-tu?urile=wcm:path:/wps/wcm/connect/BIDV/ca-nhan/khuyen-mai/uu-dai-khac/hoa-nhip-don-tet-gia-dinh-gan-ket,OFFICIAL_DOMAIN_MATCH;HTTPS_LINK;TARGET_YEAR_OR_QUARTER_MATCH;SOURCE_FROM_ERROR_PAGE_REVIEW;SOURCE_FROM_BLOCKED_PAGE_REVIEW;NO_FINANCE_KEYWORDS;FILE_TYPE_UNCONFIRMED_REVIEW,True,medium,01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS alone is not finance evidence
BID,2026,filing_page,https://bidv.com.vn/vn/quan-he-nha-dau-tu,https://bidv.com.vn/vn/quan-he-nha-dau-tu?urile=wcm:path:/wps/wcm/connect/BIDV/ca-nhan/khuyen-mai/tiet-kiem-1/gui-tiet-kiem-bidv-trung-oto-mercedes,OFFICIAL_DOMAIN_MATCH;HTTPS_LINK;TARGET_YEAR_OR_QUARTER_MATCH;SOURCE_FROM_ERROR_PAGE_REVIEW;SOURCE_FROM_BLOCKED_PAGE_REVIEW;NO_FINANCE_KEYWORDS;FILE_TYPE_UNCONFIRMED_REVIEW;PERIOD_NOT_EXACT_TARGET_REVIEW,True,medium,01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS alone is not finance evidence
BID,2026,filing_page,https://bidv.com.vn/vn/quan-he-nha-dau-tu,https://bidv.com.vn/vn/quan-he-nha-dau-tu?urile=wcm:path:/wps/wcm/connect/BIDV/ca-nhan/khuyen-mai/dich-vu-the/But-pha-doanh-thu-cung-the-bidv-visa-debit-superads,OFFICIAL_DOMAIN_MATCH;HTTPS_LINK;TARGET_YEAR_OR_QUARTER_MATCH;SOURCE_FROM_ERROR_PAGE_REVIEW;SOURCE_FROM_BLOCKED_PAGE_REVIEW;NO_FINANCE_KEYWORDS;FILE_TYPE_UNCONFIRMED_REVIEW;PERIOD_NOT_EXACT_TARGET_REVIEW,True,medium,01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS alone is not finance evidence
BID,2026,filing_page,https://bidv.com.vn/vn/quan-he-nha-dau-tu,https://bidv.com.vn/vn/quan-he-nha-dau-tu?urile=wcm:path:/wps/wcm/connect/BIDV/ca-nhan/khuyen-mai/san-pham-vay/BIDV-trien-khai-goi-vay-uu-dai-danh-cho-khach-hang-ca-nhan-nam-2026,OFFICIAL_DOMAIN_MATCH;HTTPS_LINK;TARGET_YEAR_OR_QUARTER_MATCH;SOURCE_FROM_ERROR_PAGE_REVIEW;SOURCE_FROM_BLOCKED_PAGE_REVIEW;NO_FINANCE_KEYWORDS;FILE_TYPE_UNCONFIRMED_REVIEW;PERIOD_NOT_EXACT_TARGET_REVIEW,True,medium,01ID_PATCH1_CANDIDATE_NOT_FINANCE_EVIDENCE_YET; HTTPS alone is not finance evidence
