dataset_name,ticker,issue,notes
l0_basic_investability_filter,SSI,MARKET_DATA_QUALITY_REVIEW,
l0_basic_investability_filter,SSI,MARKET_CAP_MISSING,
l0_basic_investability_filter,SSI,UNKNOWN_DISCLOSURE_STATUS,
l0_basic_investability_filter,SSI,LOW_DATA_COVERAGE,
l0_basic_investability_filter,SSI,INSUFFICIENT_FINANCIAL_HISTORY,
l0_basic_investability_filter,VND,UPSTREAM_L0_CAUTION,
l0_basic_investability_filter,VND,SUSPICIOUS_OUTLIER,
l0_basic_investability_filter,VND,LOW_DATA_CONFIDENCE,
l0_basic_investability_filter,VND,STALE_DATA,
l0_basic_investability_filter,VND,LOW_LIQUIDITY,
l0_basic_investability_filter,VND,MARKET_DATA_QUALITY_REVIEW,
l0_basic_investability_filter,VND,MARKET_CAP_MISSING,
l0_basic_investability_filter,VND,UNKNOWN_DISCLOSURE_STATUS,
l0_basic_investability_filter,VND,LOW_DATA_COVERAGE,
l0_basic_investability_filter,GAS,UPSTREAM_L0_CAUTION,
l0_basic_investability_filter,GAS,SUSPICIOUS_OUTLIER,
l0_basic_investability_filter,GAS,LOW_DATA_CONFIDENCE,
l0_basic_investability_filter,GAS,STALE_DATA,
l0_basic_investability_filter,GAS,LOW_LIQUIDITY,
l0_basic_investability_filter,GAS,MARKET_DATA_QUALITY_REVIEW,
l0_basic_investability_filter,GAS,MARKET_CAP_MISSING,
l0_basic_investability_filter,GAS,UNKNOWN_DISCLOSURE_STATUS,
l0_basic_investability_filter,GAS,LOW_DATA_COVERAGE,
l0_basic_investability_filter,GAS,INSUFFICIENT_FINANCIAL_HISTORY,
l0_basic_investability_filter,PVS,UPSTREAM_L0_CAUTION,
l0_basic_investability_filter,PVS,SUSPICIOUS_OUTLIER,
l0_basic_investability_filter,PVS,LOW_DATA_CONFIDENCE,
l0_basic_investability_filter,PVS,STALE_DATA,
l0_basic_investability_filter,PVS,LOW_LIQUIDITY,
l0_basic_investability_filter,PVS,MARKET_DATA_QUALITY_REVIEW,
l0_basic_investability_filter,PVS,MARKET_CAP_MISSING,
l0_basic_investability_filter,PVS,UNKNOWN_DISCLOSURE_STATUS,
l0_basic_investability_filter,PVS,LOW_DATA_COVERAGE,
l0_basic_investability_filter,PVS,INSUFFICIENT_FINANCIAL_HISTORY,
