ticker,period,local_path,file_hash,page_count,backend,text_chars,table_count,extract_status,error,notes
NLG,2025-Q2,data\raw\official_finance_documents\01ie\nlg_2025_q2_financial_statement_fa0f45875eaf46be.pdf,fa0f45875eaf46be960a14bb2fda4b0642e22c585c0a97adc5fba1760f765150,47,pymupdf,0,0,NO_TEXT_EXTRACTED,,python-native non-OCR extraction
NLG,2025-Q2,data\raw\official_finance_documents\01ie\nlg_2025_q2_financial_statement_fa0f45875eaf46be.pdf,fa0f45875eaf46be960a14bb2fda4b0642e22c585c0a97adc5fba1760f765150,47,pdfplumber,0,0,NO_TEXT_EXTRACTED,,python-native non-OCR extraction
NLG,2025-Q2,data\raw\official_finance_documents\01ie\nlg_2025_q2_financial_statement_fa0f45875eaf46be.pdf,fa0f45875eaf46be960a14bb2fda4b0642e22c585c0a97adc5fba1760f765150,47,pypdf,0,0,NO_TEXT_EXTRACTED,,python-native non-OCR extraction
NLG,2025-Q2,data\raw\official_finance_documents\01ie\nlg_2025_q2_financial_statement_fa0f45875eaf46be.pdf,fa0f45875eaf46be960a14bb2fda4b0642e22c585c0a97adc5fba1760f765150,47,overall,0,0,SCANNED_OR_IMAGE_ONLY_REVIEW,,no non-OCR Python backend extracted usable text or tables
PVS,2025-Q2,data\raw\official_finance_documents\01ie\pvs_2025_q2_financial_statement_4b78ed50d5120d57.pdf,4b78ed50d5120d5774dd26b50cda33e33fa1125959ccabc0f942c5328387638b,99,pymupdf,11601,0,TEXT_EXTRACTED,,python-native non-OCR extraction
PVS,2025-Q2,data\raw\official_finance_documents\01ie\pvs_2025_q2_financial_statement_4b78ed50d5120d57.pdf,4b78ed50d5120d5774dd26b50cda33e33fa1125959ccabc0f942c5328387638b,99,pdfplumber,12990,0,TEXT_EXTRACTED,,python-native non-OCR extraction
PVS,2025-Q2,data\raw\official_finance_documents\01ie\pvs_2025_q2_financial_statement_4b78ed50d5120d57.pdf,4b78ed50d5120d5774dd26b50cda33e33fa1125959ccabc0f942c5328387638b,99,pypdf,11628,0,TEXT_EXTRACTED,,python-native non-OCR extraction
PVS,2026-Q1,data\raw\official_finance_documents\01ie\pvs_2026_q1_financial_statement_163b34a26aa6ccc7.pdf,163b34a26aa6ccc732ee81f04ce116457ab7c375094f231c2cbc2f66093c091e,119,pymupdf,17863,0,TEXT_EXTRACTED,,python-native non-OCR extraction
PVS,2026-Q1,data\raw\official_finance_documents\01ie\pvs_2026_q1_financial_statement_163b34a26aa6ccc7.pdf,163b34a26aa6ccc732ee81f04ce116457ab7c375094f231c2cbc2f66093c091e,119,pdfplumber,19956,0,TEXT_EXTRACTED,,python-native non-OCR extraction
PVS,2026-Q1,data\raw\official_finance_documents\01ie\pvs_2026_q1_financial_statement_163b34a26aa6ccc7.pdf,163b34a26aa6ccc732ee81f04ce116457ab7c375094f231c2cbc2f66093c091e,119,pypdf,18896,0,TEXT_EXTRACTED,,python-native non-OCR extraction
NLG,2025,data\raw\official_finance_documents\01ie\nlg_2025_financial_statement_32478ad3f1aaf25f.pdf,32478ad3f1aaf25f0cf3853fdcad6a8b9d3142bbb873fdb54c617fbc85f2909a,62,pymupdf,0,0,NO_TEXT_EXTRACTED,,python-native non-OCR extraction
NLG,2025,data\raw\official_finance_documents\01ie\nlg_2025_financial_statement_32478ad3f1aaf25f.pdf,32478ad3f1aaf25f0cf3853fdcad6a8b9d3142bbb873fdb54c617fbc85f2909a,62,pdfplumber,0,0,NO_TEXT_EXTRACTED,,python-native non-OCR extraction
NLG,2025,data\raw\official_finance_documents\01ie\nlg_2025_financial_statement_32478ad3f1aaf25f.pdf,32478ad3f1aaf25f0cf3853fdcad6a8b9d3142bbb873fdb54c617fbc85f2909a,62,pypdf,0,0,NO_TEXT_EXTRACTED,,python-native non-OCR extraction
NLG,2025,data\raw\official_finance_documents\01ie\nlg_2025_financial_statement_32478ad3f1aaf25f.pdf,32478ad3f1aaf25f0cf3853fdcad6a8b9d3142bbb873fdb54c617fbc85f2909a,62,overall,0,0,SCANNED_OR_IMAGE_ONLY_REVIEW,,no non-OCR Python backend extracted usable text or tables
