dataset_name,record_key,ticker,field_name,observed_values,source_categories,source_names,conflict_status,manual_review_required,notes
disclosure_status,ticker=VGC|event_date=2026-06-05|event_type=DISCLOSURE_SOURCE_UNAVAILABLE,VGC,title,SOURCE_SSL_FAILED|SOURCE_BLOCKED_OR_JS_REQUIRED,hnx|ssc,hnx|ssc,DATA_CONFLICT_MANUAL_REVIEW,True,conflicting source values; no silent overwrite applied
disclosure_status,ticker=VGC|event_date=2026-06-05|event_type=DISCLOSURE_SOURCE_UNAVAILABLE,VGC,description,public HTML table probe for official disclosure/status list|secondary/discovery-only source; no official status-list parser selected,hnx|ssc,hnx|ssc,DATA_CONFLICT_MANUAL_REVIEW,True,conflicting source values; no silent overwrite applied
disclosure_status,ticker=GMD|event_date=2026-06-05|event_type=DISCLOSURE_SOURCE_UNAVAILABLE,GMD,source,hnx|ssc,hnx|ssc,hnx|ssc,DATA_CONFLICT_MANUAL_REVIEW,True,conflicting source values; no silent overwrite applied
disclosure_status,ticker=GMD|event_date=2026-06-05|event_type=DISCLOSURE_SOURCE_UNAVAILABLE,GMD,source_url,"https://www.hnx.vn/co-phieu-etfs/chung-khoan-uc-canh-bao-ndt.html, https://www.upboard.hnx.vn/co-phieu-etfs/chung-khoan-ny-khong-ky-quy.html, https://www.hnx.vn/co-phieu-etfs/chung-khoan-ny-thong-tin.html|https://www.ssc.gov.vn/",hnx|ssc,hnx|ssc,DATA_CONFLICT_MANUAL_REVIEW,True,conflicting source values; no silent overwrite applied
disclosure_status,ticker=GMD|event_date=2026-06-05|event_type=DISCLOSURE_SOURCE_UNAVAILABLE,GMD,title,SOURCE_SSL_FAILED|SOURCE_BLOCKED_OR_JS_REQUIRED,hnx|ssc,hnx|ssc,DATA_CONFLICT_MANUAL_REVIEW,True,conflicting source values; no silent overwrite applied
disclosure_status,ticker=GMD|event_date=2026-06-05|event_type=DISCLOSURE_SOURCE_UNAVAILABLE,GMD,description,public HTML table probe for official disclosure/status list|secondary/discovery-only source; no official status-list parser selected,hnx|ssc,hnx|ssc,DATA_CONFLICT_MANUAL_REVIEW,True,conflicting source values; no silent overwrite applied
disclosure_status,ticker=VHC|event_date=2026-06-05|event_type=DISCLOSURE_SOURCE_UNAVAILABLE,VHC,source,hnx|ssc,hnx|ssc,hnx|ssc,DATA_CONFLICT_MANUAL_REVIEW,True,conflicting source values; no silent overwrite applied
disclosure_status,ticker=VHC|event_date=2026-06-05|event_type=DISCLOSURE_SOURCE_UNAVAILABLE,VHC,source_url,"https://www.hnx.vn/co-phieu-etfs/chung-khoan-uc-canh-bao-ndt.html, https://www.upboard.hnx.vn/co-phieu-etfs/chung-khoan-ny-khong-ky-quy.html, https://www.hnx.vn/co-phieu-etfs/chung-khoan-ny-thong-tin.html|https://www.ssc.gov.vn/",hnx|ssc,hnx|ssc,DATA_CONFLICT_MANUAL_REVIEW,True,conflicting source values; no silent overwrite applied
disclosure_status,ticker=VHC|event_date=2026-06-05|event_type=DISCLOSURE_SOURCE_UNAVAILABLE,VHC,title,SOURCE_SSL_FAILED|SOURCE_BLOCKED_OR_JS_REQUIRED,hnx|ssc,hnx|ssc,DATA_CONFLICT_MANUAL_REVIEW,True,conflicting source values; no silent overwrite applied
disclosure_status,ticker=VHC|event_date=2026-06-05|event_type=DISCLOSURE_SOURCE_UNAVAILABLE,VHC,description,public HTML table probe for official disclosure/status list|secondary/discovery-only source; no official status-list parser selected,hnx|ssc,hnx|ssc,DATA_CONFLICT_MANUAL_REVIEW,True,conflicting source values; no silent overwrite applied
disclosure_status,ticker=TCM|event_date=2026-06-05|event_type=DISCLOSURE_SOURCE_UNAVAILABLE,TCM,source,hnx|ssc,hnx|ssc,hnx|ssc,DATA_CONFLICT_MANUAL_REVIEW,True,conflicting source values; no silent overwrite applied
disclosure_status,ticker=TCM|event_date=2026-06-05|event_type=DISCLOSURE_SOURCE_UNAVAILABLE,TCM,source_url,"https://www.hnx.vn/co-phieu-etfs/chung-khoan-uc-canh-bao-ndt.html, https://www.upboard.hnx.vn/co-phieu-etfs/chung-khoan-ny-khong-ky-quy.html, https://www.hnx.vn/co-phieu-etfs/chung-khoan-ny-thong-tin.html|https://www.ssc.gov.vn/",hnx|ssc,hnx|ssc,DATA_CONFLICT_MANUAL_REVIEW,True,conflicting source values; no silent overwrite applied
disclosure_status,ticker=TCM|event_date=2026-06-05|event_type=DISCLOSURE_SOURCE_UNAVAILABLE,TCM,title,SOURCE_SSL_FAILED|SOURCE_BLOCKED_OR_JS_REQUIRED,hnx|ssc,hnx|ssc,DATA_CONFLICT_MANUAL_REVIEW,True,conflicting source values; no silent overwrite applied
disclosure_status,ticker=TCM|event_date=2026-06-05|event_type=DISCLOSURE_SOURCE_UNAVAILABLE,TCM,description,public HTML table probe for official disclosure/status list|secondary/discovery-only source; no official status-list parser selected,hnx|ssc,hnx|ssc,DATA_CONFLICT_MANUAL_REVIEW,True,conflicting source values; no silent overwrite applied
