ticker,has_income_statement,has_balance_sheet,has_cash_flow,has_market_price,has_volume,finance_field_count,missing_required_fields,legacy_cache_status,export_status,notes,source_layer
BBT,False,False,False,False,True,0,revenue;gross_profit;net_income;total_assets;total_liabilities;equity;cfo;capex,L4_CACHE_PRESENT,PARTIAL_PROVISIONAL_DATA,provisional structured data only; missing values were not zero-filled,provisional_structured
BCA,False,False,False,True,True,0,revenue;gross_profit;net_income;total_assets;total_liabilities;equity;cfo;capex,L4_CACHE_PRESENT,PARTIAL_PROVISIONAL_DATA,provisional structured data only; missing values were not zero-filled,provisional_structured
BCB,False,False,False,False,False,0,revenue;gross_profit;net_income;total_assets;total_liabilities;equity;cfo;capex,L4_CACHE_PRESENT,INSUFFICIENT_DATA,provisional structured data only; missing values were not zero-filled,provisional_structured
BCC,False,False,False,False,True,0,revenue;gross_profit;net_income;total_assets;total_liabilities;equity;cfo;capex,L4_CACHE_PRESENT,PARTIAL_PROVISIONAL_DATA,provisional structured data only; missing values were not zero-filled,provisional_structured
BCE,False,False,False,False,True,0,revenue;gross_profit;net_income;total_assets;total_liabilities;equity;cfo;capex,L4_CACHE_PRESENT,PARTIAL_PROVISIONAL_DATA,provisional structured data only; missing values were not zero-filled,provisional_structured
BCF,False,False,False,False,True,0,revenue;gross_profit;net_income;total_assets;total_liabilities;equity;cfo;capex,L4_CACHE_PRESENT,PARTIAL_PROVISIONAL_DATA,provisional structured data only; missing values were not zero-filled,provisional_structured
BCG,False,False,False,False,False,0,revenue;gross_profit;net_income;total_assets;total_liabilities;equity;cfo;capex,L4_CACHE_PRESENT,INSUFFICIENT_DATA,provisional structured data only; missing values were not zero-filled,provisional_structured
BCI,False,False,False,False,False,0,revenue;gross_profit;net_income;total_assets;total_liabilities;equity;cfo;capex,L4_CACHE_MISSING,CACHE_MISSING,provisional structured data only; missing values were not zero-filled,provisional_structured
BCM,False,False,False,False,True,0,revenue;gross_profit;net_income;total_assets;total_liabilities;equity;cfo;capex,L4_CACHE_PRESENT,PARTIAL_PROVISIONAL_DATA,provisional structured data only; missing values were not zero-filled,provisional_structured
BCO,False,False,False,False,False,0,revenue;gross_profit;net_income;total_assets;total_liabilities;equity;cfo;capex,L4_CACHE_PRESENT,INSUFFICIENT_DATA,provisional structured data only; missing values were not zero-filled,provisional_structured
BCP,False,False,False,False,True,0,revenue;gross_profit;net_income;total_assets;total_liabilities;equity;cfo;capex,L4_CACHE_PRESENT,PARTIAL_PROVISIONAL_DATA,provisional structured data only; missing values were not zero-filled,provisional_structured
BCR,False,False,False,False,False,0,revenue;gross_profit;net_income;total_assets;total_liabilities;equity;cfo;capex,L4_CACHE_PRESENT,INSUFFICIENT_DATA,provisional structured data only; missing values were not zero-filled,provisional_structured
BCV,False,False,False,False,False,0,revenue;gross_profit;net_income;total_assets;total_liabilities;equity;cfo;capex,L4_CACHE_PRESENT,INSUFFICIENT_DATA,provisional structured data only; missing values were not zero-filled,provisional_structured
BDB,False,False,False,False,True,0,revenue;gross_profit;net_income;total_assets;total_liabilities;equity;cfo;capex,L4_CACHE_PRESENT,PARTIAL_PROVISIONAL_DATA,provisional structured data only; missing values were not zero-filled,provisional_structured
BDC,False,False,False,False,False,0,revenue;gross_profit;net_income;total_assets;total_liabilities;equity;cfo;capex,L4_CACHE_MISSING,CACHE_MISSING,provisional structured data only; missing values were not zero-filled,provisional_structured
BDF,False,False,False,False,False,0,revenue;gross_profit;net_income;total_assets;total_liabilities;equity;cfo;capex,L4_CACHE_MISSING,CACHE_MISSING,provisional structured data only; missing values were not zero-filled,provisional_structured
BDG,False,False,False,False,True,0,revenue;gross_profit;net_income;total_assets;total_liabilities;equity;cfo;capex,L4_CACHE_PRESENT,PARTIAL_PROVISIONAL_DATA,provisional structured data only; missing values were not zero-filled,provisional_structured
BDT,False,False,False,False,True,0,revenue;gross_profit;net_income;total_assets;total_liabilities;equity;cfo;capex,L4_CACHE_PRESENT,PARTIAL_PROVISIONAL_DATA,provisional structured data only; missing values were not zero-filled,provisional_structured
BDW,False,False,False,False,True,0,revenue;gross_profit;net_income;total_assets;total_liabilities;equity;cfo;capex,L4_CACHE_PRESENT,PARTIAL_PROVISIONAL_DATA,provisional structured data only; missing values were not zero-filled,provisional_structured
BED,False,False,False,False,False,0,revenue;gross_profit;net_income;total_assets;total_liabilities;equity;cfo;capex,L4_CACHE_PRESENT,INSUFFICIENT_DATA,provisional structured data only; missing values were not zero-filled,provisional_structured
BEL,False,False,False,False,False,0,revenue;gross_profit;net_income;total_assets;total_liabilities;equity;cfo;capex,L4_CACHE_PRESENT,INSUFFICIENT_DATA,provisional structured data only; missing values were not zero-filled,provisional_structured
BFC,False,False,False,False,True,0,revenue;gross_profit;net_income;total_assets;total_liabilities;equity;cfo;capex,L4_CACHE_PRESENT,PARTIAL_PROVISIONAL_DATA,provisional structured data only; missing values were not zero-filled,provisional_structured
BGE,False,False,False,False,False,0,revenue;gross_profit;net_income;total_assets;total_liabilities;equity;cfo;capex,L4_CACHE_PRESENT,INSUFFICIENT_DATA,provisional structured data only; missing values were not zero-filled,provisional_structured
BGM,False,False,False,False,False,0,revenue;gross_profit;net_income;total_assets;total_liabilities;equity;cfo;capex,L4_CACHE_MISSING,CACHE_MISSING,provisional structured data only; missing values were not zero-filled,provisional_structured
BGW,False,False,False,False,True,0,revenue;gross_profit;net_income;total_assets;total_liabilities;equity;cfo;capex,L4_CACHE_PRESENT,PARTIAL_PROVISIONAL_DATA,provisional structured data only; missing values were not zero-filled,provisional_structured
BHA,False,False,False,False,True,0,revenue;gross_profit;net_income;total_assets;total_liabilities;equity;cfo;capex,L4_CACHE_PRESENT,PARTIAL_PROVISIONAL_DATA,provisional structured data only; missing values were not zero-filled,provisional_structured
BHC,False,False,False,False,True,0,revenue;gross_profit;net_income;total_assets;total_liabilities;equity;cfo;capex,L4_CACHE_PRESENT,PARTIAL_PROVISIONAL_DATA,provisional structured data only; missing values were not zero-filled,provisional_structured
BHG,False,False,False,False,False,0,revenue;gross_profit;net_income;total_assets;total_liabilities;equity;cfo;capex,L4_CACHE_PRESENT,INSUFFICIENT_DATA,provisional structured data only; missing values were not zero-filled,provisional_structured
