source_name,source_category,dataset_name,ticker,action,status,row_count,http_status_or_error,source_url,notes
vnstock,vnstock,disclosure_status,FPT,fetch_disclosure,SOURCE_EMPTY_RESPONSE,0,,https://vnstocks.com/,vnstock returned no disclosure warning rows; not treated as clean
vnstock,vnstock,disclosure_status,MWG,fetch_disclosure,SOURCE_EMPTY_RESPONSE,0,,https://vnstocks.com/,vnstock returned no disclosure warning rows; not treated as clean
vnstock,vnstock,disclosure_status,VGC,fetch_disclosure,SOURCE_EMPTY_RESPONSE,0,,https://vnstocks.com/,vnstock returned no disclosure warning rows; not treated as clean
vnstock,vnstock,disclosure_status,GMD,fetch_disclosure,SOURCE_EMPTY_RESPONSE,0,,https://vnstocks.com/,vnstock returned no disclosure warning rows; not treated as clean
vnstock,vnstock,disclosure_status,VHC,fetch_disclosure,SOURCE_EMPTY_RESPONSE,0,,https://vnstocks.com/,vnstock returned no disclosure warning rows; not treated as clean
vnstock,vnstock,disclosure_status,TCM,fetch_disclosure,SOURCE_EMPTY_RESPONSE,0,,https://vnstocks.com/,vnstock returned no disclosure warning rows; not treated as clean
cafef,cafef,financial_statement_summary,,fetch_finance,FETCH_SKIPPED,0,,,fetch skipped because probe did not show safe accessibility
cafef,cafef,disclosure_status,,fetch_disclosure,FETCH_SKIPPED,0,,,fetch skipped because probe did not show safe accessibility
vietstock,vietstock,financial_statement_summary,,fetch_finance,FETCH_SKIPPED,0,,,fetch skipped because probe did not show safe accessibility
vietstock,vietstock,disclosure_status,,fetch_disclosure,FETCH_SKIPPED,0,,,fetch skipped because probe did not show safe accessibility
hose,hose,financial_statement_summary,,fetch_finance,FETCH_SKIPPED,0,,,fetch skipped because probe did not show safe accessibility
hose,hose,disclosure_status,,fetch_disclosure,SOURCE_SCHEMA_UNKNOWN,0,200,https://www.hsx.vn/,no regulatory warning schema detected
hnx,hnx,financial_statement_summary,,fetch_finance,FETCH_SKIPPED,0,,,fetch skipped because probe did not show safe accessibility
hnx,hnx,disclosure_status,,fetch_disclosure,FETCH_SKIPPED,0,,,fetch skipped because probe did not show safe accessibility
ssc,ssc,financial_statement_summary,,fetch_finance,FETCH_SKIPPED,0,,,fetch skipped because probe did not show safe accessibility
ssc,ssc,disclosure_status,,fetch_disclosure,FETCH_SKIPPED,0,,,fetch skipped because probe did not show safe accessibility
