dataset_name,record_key,ticker,field_name,source_category,source_name,source_priority_rank,value,normalized_value,source_url,fetch_time,confidence_raw,evidence_status,reconciliation_status,notes
universe,ticker=HPG,HPG,company_name,vnstock,vnstock:kbs,5,CTCP Tập đoàn Hòa Phát,ctcp tập đoàn hòa phát,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,EVIDENCE_AVAILABLE,RESOLVED_BY_SINGLE_SOURCE,real universe row from vnstock Listing.symbols_by_exchange
universe,ticker=HPG,HPG,listing_status,vnstock,vnstock:kbs,5,LISTED,listed,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,EVIDENCE_AVAILABLE,RESOLVED_BY_SINGLE_SOURCE,real universe row from vnstock Listing.symbols_by_exchange
universe,ticker=HPG,HPG,source,vnstock,vnstock:kbs,5,vnstock:kbs,vnstock:kbs,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,EVIDENCE_AVAILABLE,NOT_REQUIRED_FOR_RECONCILIATION,real universe row from vnstock Listing.symbols_by_exchange
universe,ticker=HPG,HPG,source_url,vnstock,vnstock:kbs,5,https://vnstocks.com/,https://vnstocks.com/,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,EVIDENCE_AVAILABLE,NOT_REQUIRED_FOR_RECONCILIATION,real universe row from vnstock Listing.symbols_by_exchange
universe,ticker=HPG,HPG,fetch_time,vnstock,vnstock:kbs,5,2026-06-04T03:25:28+00:00,2026-06-04t03:25:28+00:00,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,EVIDENCE_AVAILABLE,NOT_REQUIRED_FOR_RECONCILIATION,real universe row from vnstock Listing.symbols_by_exchange
universe,ticker=HPG,HPG,confidence_raw,vnstock,vnstock:kbs,5,medium,medium,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,EVIDENCE_AVAILABLE,NOT_REQUIRED_FOR_RECONCILIATION,real universe row from vnstock Listing.symbols_by_exchange
universe,ticker=HSG,HSG,ticker,vnstock,vnstock:kbs,5,HSG,hsg,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,EVIDENCE_AVAILABLE,RESOLVED_BY_SINGLE_SOURCE,real universe row from vnstock Listing.symbols_by_exchange
universe,ticker=HSG,HSG,exchange,vnstock,vnstock:kbs,5,HOSE,hose,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,EVIDENCE_AVAILABLE,RESOLVED_BY_SINGLE_SOURCE,real universe row from vnstock Listing.symbols_by_exchange
universe,ticker=HSG,HSG,company_name,vnstock,vnstock:kbs,5,CTCP Tập đoàn Hoa Sen,ctcp tập đoàn hoa sen,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,EVIDENCE_AVAILABLE,RESOLVED_BY_SINGLE_SOURCE,real universe row from vnstock Listing.symbols_by_exchange
universe,ticker=HSG,HSG,listing_status,vnstock,vnstock:kbs,5,LISTED,listed,https://vnstocks.com/,2026-06-04T03:25:28+00:00,medium,EVIDENCE_AVAILABLE,RESOLVED_BY_SINGLE_SOURCE,real universe row from vnstock Listing.symbols_by_exchange
